acteurs,box_office_url,duree,entrees,genre,realisateur,titre
"Raphaël Personnaz,Doria Tillier,Jeanne Balibar",https://www.allocine.fr/film/fichefilm-286292/box-office/,120,,Biopic,Anne Fontaine,Bolero
"Vincent Lindon,Karole Rocher,Stefan Virgil Stoica",https://www.allocine.fr/film/fichefilm-313397/box-office/,102,,Drame,Nicolas Boukhrief,Comme un fils
"Maxime Gasteuil,Zabou Breitman,Romain Lancry",https://www.allocine.fr/film/fichefilm-316137/box-office/,96,,Comédie,Edouard Pluvieux,14 jours pour aller mieux
"Olivia Colman,Jessie Buckley,Anjana Vasan",https://www.allocine.fr/film/fichefilm-304573/box-office/,100,,"Comédie,Policier,Drame",Thea Sharrock,Scandaleusement vôtre
"Guillaume Canet,Alba Rohrwacher,Sharif Andoura",https://www.allocine.fr/film/fichefilm-309546/box-office/,106,,"Comédie,Comédie dramatique,Drame",Stéphane Brizé,Hors-saison
"Agnès Jaoui,William Lebghil,Salif Cissé",https://www.allocine.fr/film/fichefilm-310110/box-office/,103,,Comédie dramatique,Julien Carpentier,La Vie de ma mère
"Jasmine Trinca,Leïla Bekhti,Rafaëlle Sonneville-Caby",https://www.allocine.fr/film/fichefilm-289562/box-office/,99,,"Drame,Historique",Léa Todorov,La Nouvelle femme
"Christian Clavier,Marianne Denicourt,Didier Bourdon",https://www.allocine.fr/film/fichefilm-303455/box-office/,91,,Comédie,Julien Hervé,Cocorico
"Karin Viard,Ana Girardot,Cédric Kahn",https://www.allocine.fr/film/fichefilm-288971/box-office/,92,,"Drame,Historique",Isabelle Brocard,Madame de Sévigné
"Audrey Lamy,Fabrice Eboué,Anouk Grinberg",https://www.allocine.fr/film/fichefilm-316138/box-office/,103,,Comédie,"Maxime Govare,Romain Choay",Heureux gagnants
"Blanche Gardin,Michel Houellebecq,Luc Schwarz",https://www.allocine.fr/film/fichefilm-307806/box-office/,88,,Comédie,Guillaume Nicloux,Dans la peau de Blanche Houellebecq
"Sandra Hüller,Milo Machado-Graner,Swann Arlaud",https://www.allocine.fr/film/fichefilm-297303/box-office/,151,,"Policier,Drame,Judiciaire",Justine Triet,Anatomie d’une chute
"Franck Dubosc,Reem Kherici,Philippe Lacheau",https://www.allocine.fr/film/fichefilm-300795/box-office/,86,,"Aventure,Animation,Comédie",Reem Kherici,Chien et Chat
"Sydney Sweeney,Glen Powell,Alexandra Shipp",https://www.allocine.fr/film/fichefilm-187945/box-office/,104,,"Comédie,Romance",Will Gluck,Tout sauf toi
"Louise Bourgoin,Xavier Lacaille,Francesco Montanari",https://www.allocine.fr/film/fichefilm-323931/box-office/,91,,Comédie,Émilie Noblet,Bis Repetita
"Kev Adams,Jean Reno,Daniel Prévost",https://www.allocine.fr/film/fichefilm-313914/box-office/,102,,Comédie,Claude Zidi Jr.,Maison de retraite 2
"Talia Ryder,Simon Rex,Earl Cave",https://www.allocine.fr/film/fichefilm-315401/box-office/,104,,"Comédie,Drame",Sean Price Williams,The Sweet East
"DeWanda Wise,Tom Payne (II),Taegen Burns",https://www.allocine.fr/film/fichefilm-313712/box-office/,105,,"Epouvante-horreur,Thriller",Jeff Wadlow,Imaginary
"Millie Bobby Brown,Robin Wright,Angela Bassett",https://www.allocine.fr/film/fichefilm_gen_cfilm=288025.html,107,,"Action,Aventure,Fantastique",Juan Carlos Fresnadillo,La Demoiselle et le Dragon
"Jake Gyllenhaal,Conor McGregor,Daniela Melchior",https://www.allocine.fr/film/fichefilm_gen_cfilm=225486.html,114,,"Action,Drame,Thriller",Doug Liman,Road House
"Andrew Scott,Paul Mescal,Jamie Bell",https://www.allocine.fr/film/fichefilm-305976/box-office/,105,,"Drame,Romance",Andrew Haigh,Sans jamais nous connaître
"Cillian Murphy,Emily Blunt,Matt Damon",https://www.allocine.fr/film/fichefilm-296168/box-office/,181,,"Biopic,Historique,Thriller",Christopher Nolan,Oppenheimer
"Dakota Johnson,Sydney Sweeney,Isabela Merced",https://www.allocine.fr/film/fichefilm-277610/box-office/,117,,"Action,Fantastique",S.J. Clarkson,Madame Web
"Sydney Sweeney,Álvaro Morte,Simona Tabasco",https://www.allocine.fr/film/fichefilm-313597/box-office/,89,,"Epouvante-horreur,Thriller",Michael Mohan,Immaculée
"Xavier Lacaille,Francesco Montanari",https://www.allocine.fr/film/fichefilm-323931/box-office/,Non valide,54009,Comédie,,Bis Repetita
"Glen Powell,Alexandra Shipp",https://www.allocine.fr/film/fichefilm-187945/box-office/,Non valide,99314,"Comédie,Romance",,Tout sauf toi
"Reem Kherici,Philippe Lacheau",https://www.allocine.fr/film/fichefilm-300795/box-office/,Non valide,314952,,,Chien et Chat
"Milo Machado-Graner,Swann Arlaud",https://www.allocine.fr/film/fichefilm-297303/box-office/,Non valide,346499,,,Anatomie d’une chute
"Emma Stone,Mark Ruffalo,Willem Dafoe",https://www.allocine.fr/film/fichefilm-290065/box-office/,141,,"Comédie,Drame,Fantastique",Yorgos Lanthimos,Pauvres Créatures
"Alexandra Lamy,Félix Moati,Sofian Khammes",https://www.allocine.fr/film/fichefilm_gen_cfilm=314138.html,124,,Drame,Edouard Bergeon,La Promesse verte
"Fanny Ardant,Mathieu Kassovitz,Laetitia Dosch",https://www.allocine.fr/film/fichefilm-308796/box-office/,116,,"Comédie dramatique,Policier",Thierry Klifa,Les Rois de la Piste
